Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,410.76,417.25,404.0001,409.88,505943.0,0.0,1.0,410.76,417.25,404.0001,409.88,505943.0
2018-03-26,405.84,410.27,404.37,409.61,447177.0,0.0,1.0,405.84,410.27,404.37,409.61,447177.0
2018-03-23,417.74,419.1099,401.0,401.68,829950.0,0.0,1.0,417.74,419.1099,401.0,401.68,829950.0
2018-03-22,410.86,420.85,407.82,417.58,1023078.0,0.0,1.0,410.86,420.85,407.82,417.58,1023078.0
2018-03-21,415.74,415.98,407.69,411.84,559147.0,0.0,1.0,415.74,415.98,407.69,411.84,559147.0
2018-03-20,411.32,415.96,411.32,415.26,419422.0,0.0,1.0,411.32,415.96,411.32,415.26,419422.0
2018-03-19,415.34,418.17,409.12,411.71,942956.0,0.0,1.0,415.34,418.17,409.12,411.71,942956.0
2018-03-16,417.33,421.0,413.75,419.89,1056853.0,0.0,1.0,417.33,421.0,413.75,419.89,1056853.0
2018-03-15,412.58,415.68,410.72,415.23,706788.0,0.0,1.0,412.58,415.68,410.72,415.23,706788.0
2018-03-14,404.9,416.435,404.15,413.71,908594.0,0.0,1.0,404.9,416.435,404.15,413.71,908594.0
2018-03-13,397.39,405.96,397.34,405.42,799834.0,0.0,1.0,397.39,405.96,397.34,405.42,799834.0
2018-03-12,397.49,399.89,394.88,395.35,1025596.0,0.0,1.0,397.49,399.89,394.88,395.35,1025596.0
2018-03-09,391.3,395.38,388.8555,395.16,455301.0,0.0,1.0,391.3,395.38,388.8555,395.16,455301.0
2018-03-08,393.06,393.06,387.37,389.42,542990.0,0.0,1.0,393.06,393.06,387.37,389.42,542990.0
2018-03-07,390.15,394.16,389.78,391.38,649384.0,0.0,1.0,390.15,394.16,389.78,391.38,649384.0
2018-03-06,387.9,395.02,386.955,391.62,432578.0,0.0,1.0,387.9,395.02,386.955,391.62,432578.0
2018-03-05,370.79,391.0,370.79,388.51,426608.0,0.0,1.0,370.79,391.0,370.79,388.51,426608.0
2018-03-02,385.66,387.02,374.91,381.82,808043.0,0.0,1.0,385.66,387.02,374.91,381.82,808043.0
2018-03-01,393.01,394.68,385.48,386.29,549060.0,0.0,1.0,393.01,394.68,385.48,386.29,549060.0
2018-02-28,396.58,398.45,391.28,392.1,592631.0,0.0,1.0,396.58,398.45,391.28,392.1,592631.0
2018-02-27,394.87,396.65,389.46,391.21,512699.0,0.0,1.0,394.87,396.65,389.46,391.21,512699.0
2018-02-26,396.68,397.42,391.04,394.18,452708.0,0.0,1.0,396.68,397.42,391.04,394.18,452708.0
2018-02-23,390.14,402.4962,390.14,394.84,1029430.0,0.0,1.0,390.14,402.4962,390.14,394.84,1029430.0
2018-02-22,388.85,393.54,384.22,390.45,856445.0,0.0,1.0,388.85,393.54,384.22,390.45,856445.0
2018-02-21,395.01,396.04,384.59,384.92,1192493.0,0.0,1.0,395.01,396.04,384.59,384.92,1192493.0
2018-02-20,400.75,405.96,396.12,396.44,793345.0,0.0,1.0,400.75,405.96,396.12,396.44,793345.0
2018-02-16,405.29,408.6775,396.29,403.3,1313728.0,0.0,1.0,405.29,408.6775,396.29,403.3,1313728.0
2018-02-15,418.27,420.0,401.0,407.31,2770234.0,0.0,1.0,418.27,420.0,401.0,407.31,2770234.0
2018-02-14,434.3,436.88,428.93,435.83,864776.0,0.0,1.0,434.3,436.88,428.93,435.83,864776.0
2018-02-13,431.69,437.83,426.01,436.25,866067.0,0.0,1.0,431.69,437.83,426.01,436.25,866067.0
2018-02-12,428.61,438.17,416.16,431.45,875277.0,0.0,1.0,428.61,438.17,416.16,431.45,875277.0
2018-02-09,412.0,430.01,409.48,425.65,993716.0,0.0,1.0,412.0,430.01,409.48,425.65,993716.0
2018-02-08,427.57,430.0,410.03,410.155,848411.0,0.0,1.0,427.57,430.0,410.03,410.155,848411.0
2018-02-07,430.0,438.05,425.8,426.08,421448.0,0.0,1.0,430.0,438.05,425.8,426.08,421448.0
2018-02-06,427.31,434.04,421.205,430.85,697783.0,0.0,1.0,427.31,434.04,421.205,430.85,697783.0
2018-02-05,436.98,441.84,427.0,431.53,493018.0,0.0,1.0,436.98,441.84,427.0,431.53,493018.0
2018-02-02,442.0,446.26,435.52,437.35,529966.0,0.0,1.0,442.0,446.26,435.52,437.35,529966.0
2018-02-01,452.69,457.86,443.755,444.54,563577.0,0.0,1.0,452.69,457.86,443.755,444.54,563577.0
2018-01-31,442.45,458.64,440.1,455.19,730378.0,0.0,1.0,442.45,458.64,440.1,455.19,730378.0
2018-01-30,430.0,441.84,430.0,439.56,646837.0,0.0,1.0,430.0,441.84,430.0,439.56,646837.0
2018-01-29,446.98,449.9,434.47,435.16,620648.0,0.0,1.0,446.98,449.9,434.47,435.16,620648.0
2018-01-26,435.0,442.68,432.01,441.59,1220813.0,0.0,1.0,435.0,442.68,432.01,441.59,1220813.0
2018-01-25,441.46,444.78,433.0,439.17,917592.0,0.0,1.0,441.46,444.78,433.0,439.17,917592.0
2018-01-24,442.78,445.73,438.85,441.3,603680.0,0.0,1.0,442.78,445.73,438.85,441.3,603680.0
2018-01-23,436.19,446.21,434.57,442.0,790038.0,0.0,1.0,436.19,446.21,434.57,442.0,790038.0
2018-01-22,438.0,439.28,433.31,436.05,700561.0,0.0,1.0,438.0,439.28,433.31,436.05,700561.0
2018-01-19,438.78,442.07,433.48,437.89,591620.0,0.0,1.0,438.78,442.07,433.48,437.89,591620.0
2018-01-18,440.1,444.93,436.82,437.45,773255.0,0.0,1.0,440.1,444.93,436.82,437.45,773255.0
2018-01-17,448.87,452.49,439.16,441.9,623323.0,0.0,1.0,448.87,452.49,439.16,441.9,623323.0
2018-01-16,436.8,452.61,436.49,448.1,831591.0,0.0,1.0,436.8,452.61,436.49,448.1,831591.0
2018-01-12,436.17,439.535,428.3,435.95,1089000.0,0.0,1.0,436.17,439.535,428.3,435.95,1089000.0
2018-01-11,443.0,452.28,435.04,435.39,602151.0,0.0,1.0,443.0,452.28,435.04,435.39,602151.0
2018-01-10,453.02,453.78,442.2601,443.0,631575.0,0.0,1.0,453.02,453.78,442.2601,443.0,631575.0
2018-01-09,459.89,461.73,454.01,455.98,397379.0,0.0,1.0,459.89,461.73,454.01,455.98,397379.0
2018-01-08,450.79,461.36,448.0,458.2,474446.0,0.0,1.0,450.79,461.36,448.0,458.2,474446.0
2018-01-05,450.15,450.94,447.81,449.49,331565.0,0.0,1.0,450.15,450.94,447.81,449.49,331565.0
2018-01-04,449.33,450.46,447.43,447.95,449089.0,0.0,1.0,449.33,450.46,447.43,447.95,449089.0
2018-01-03,449.14,452.56,446.65,448.98,460017.0,0.0,1.0,449.14,452.56,446.65,448.98,460017.0
2018-01-02,453.53,456.56,445.97,446.92,559804.0,0.0,1.0,453.53,456.56,445.97,446.92,559804.0
2017-12-29,455.55,458.86,452.77,453.22,264660.0,0.0,1.0,455.55,458.86,452.77,453.22,264660.0
2017-12-28,451.12,456.625,449.4,455.11,300692.0,0.0,1.0,451.12,456.625,449.4,455.11,300692.0
2017-12-27,447.7,452.16,445.73,451.69,248618.0,0.0,1.0,447.7,452.16,445.73,451.69,248618.0
2017-12-26,443.01,447.505,442.65,446.7,314742.0,0.0,1.0,443.01,447.505,442.65,446.7,314742.0
2017-12-22,446.61,448.2,443.75,446.6,366070.0,0.0,1.0,446.61,448.2,443.75,446.6,366070.0
2017-12-21,448.81,451.08,444.66,445.89,321018.0,0.0,1.0,448.81,451.08,444.66,445.89,321018.0
2017-12-20,446.24,448.17,444.96,447.2,484943.0,0.0,1.0,446.24,448.17,444.96,447.2,484943.0
2017-12-19,455.65,456.58,445.31,448.52,372187.0,0.0,1.0,455.65,456.58,445.31,448.52,372187.0
2017-12-18,457.85,461.98,455.46,455.82,546300.0,0.0,1.0,457.85,461.98,455.46,455.82,546300.0
2017-12-15,462.43,462.43,455.31,457.85,769772.0,0.0,1.0,462.43,462.43,455.31,457.85,769772.0
2017-12-14,452.34,461.17,450.205,460.35,390151.0,0.0,1.0,452.34,461.17,450.205,460.35,390151.0
2017-12-13,454.71,457.97,450.25,451.28,618088.0,0.0,1.0,454.71,457.97,450.25,451.28,618088.0
2017-12-12,449.7,453.11,446.41,450.21,321990.0,0.0,1.0,449.7,453.11,446.41,450.21,321990.0
2017-12-11,451.63,455.58,446.42,449.58,481678.0,0.0,1.0,451.63,455.58,446.42,449.58,481678.0
2017-12-08,459.04,459.66,450.19,452.39,381615.0,0.0,1.0,459.04,459.66,450.19,452.39,381615.0
2017-12-07,450.74,458.1099,448.02,455.77,532614.0,0.0,1.0,450.74,458.1099,448.02,455.77,532614.0
2017-12-06,446.88,452.7284,445.53,450.24,324553.0,0.0,1.0,446.88,452.7284,445.53,450.24,324553.0
2017-12-05,442.29,449.4,441.0,445.59,424319.0,0.0,1.0,442.29,449.4,441.0,445.59,424319.0
2017-12-04,471.03,471.39,441.78,442.28,651863.0,0.0,1.0,471.03,471.39,441.78,442.28,651863.0
2017-12-01,464.75,469.46,461.24,469.16,365935.0,0.0,1.0,464.75,469.46,461.24,469.16,365935.0
2017-11-30,468.19,468.19,461.295,464.49,578526.0,0.0,1.0,468.19,468.19,461.295,464.49,578526.0
2017-11-29,478.0,478.0,464.93,468.32,419653.0,0.0,1.0,478.0,478.0,464.93,468.32,419653.0
2017-11-28,481.4,481.485,475.86,477.95,332594.0,0.0,1.0,481.4,481.485,475.86,477.95,332594.0
2017-11-27,474.04,481.24,472.11,478.92,316294.0,0.0,1.0,474.04,481.24,472.11,478.92,316294.0
2017-11-24,473.0,476.73,472.265,474.07,99630.0,0.0,1.0,473.0,476.73,472.265,474.07,99630.0
2017-11-22,473.08,475.02,470.795,472.37,173513.0,0.0,1.0,473.08,475.02,470.795,472.37,173513.0
2017-11-21,472.69,475.13,471.28,474.26,374309.0,0.0,1.0,472.69,475.13,471.28,474.26,374309.0
2017-11-20,474.27,474.53,470.49,471.89,174125.0,0.0,1.0,474.27,474.53,470.49,471.89,174125.0
2017-11-17,473.74,475.63,470.011,472.8,297214.0,0.0,1.0,473.74,475.63,470.011,472.8,297214.0
2017-11-16,474.9,477.395,473.34,475.09,463455.0,0.0,1.0,474.9,477.395,473.34,475.09,463455.0
2017-11-15,479.37,483.44,473.52,474.42,312721.0,0.0,1.0,479.37,483.44,473.52,474.42,312721.0
2017-11-14,480.07,484.31,478.32,481.05,274403.0,0.0,1.0,480.07,484.31,478.32,481.05,274403.0
2017-11-13,481.91,485.92,478.54,484.12,428148.0,0.0,1.0,481.91,485.92,478.54,484.12,428148.0
2017-11-10,484.24,485.07,480.92,482.21,271249.0,0.0,1.0,484.24,485.07,480.92,482.21,271249.0
2017-11-09,491.73,493.91,483.69,484.86,243470.0,0.0,1.0,491.73,493.91,483.69,484.86,243470.0
2017-11-07,492.86,493.8,483.02,488.06,469263.0,0.0,1.0,492.86,493.8,483.02,488.06,469263.0
